Index,Character Count (including spaces),Word Count
0,4,1
1,51,8
2,34,8
3,73,12
4,98,16
5,7,2
6,14,3
7,183,36
8,531,96
9,98,19
10,383,65
11,263,47
12,119,18
13,256,42
14,6,1
15,14,3
16,53,8
17,40,7
18,57,9
19,356,64
20,360,61
21,47,10
22,284,52
23,12,3
24,38,8
25,1129,196
26,453,70
27,25,5
28,34,6
29,9,1
30,100,14
31,115,20
32,77,12
33,21,4
34,419,70
35,115,23
36,53,11
37,617,116
38,181,32
39,442,86
40,48,9
41,54,9
42,167,28
43,47,9
44,192,38
45,171,31
46,47,8
47,139,26
48,66,14
49,137,23
50,19,4
51,16,3
52,242,46
53,88,16
54,171,31
55,40,7
56,38,6
57,65,11
58,429,85
59,33,6
60,40,7
61,40,7
62,72,9
63,24,5
64,144,27
65,55,10
66,142,28
67,55,10
68,85,15
69,183,37
70,65,12
71,106,20
72,254,49
73,73,12
74,85,20
75,260,44
76,60,9
77,103,21
78,247,43
79,477,93
80,68,12
81,31,6
82,237,46
83,82,12
84,162,25
85,68,11
86,114,21
87,219,36
88,205,35
89,343,64
90,45,10
91,196,32
92,161,26
93,99,17
94,118,21
95,141,25
96,239,41
97,53,9
98,319,55
99,139,26
100,82,18
101,62,14
102,33,7
103,125,23
104,110,23
105,47,9
106,42,8
107,151,28
108,41,7
109,76,16
110,28,6
111,25,5
112,138,25
113,468,77
114,406,74
115,429,81
116,22,5
117,656,116
118,31,3
119,363,58
120,36,6
121,405,74
122,1131,199
123,307,51
124,166,30
125,584,99
126,175,32
127,41,8
128,64,11
129,18,4
130,214,32
131,208,31
132,63,10
133,25,5
134,96,16
135,224,38
136,4,1
137,120,22
138,34,7
139,16,2
140,28,5
141,20,2
142,291,52
143,67,11
144,44,10
145,108,21
146,139,25
147,92,17
148,54,9
149,229,35
150,45,7
151,29,5
152,271,48
153,27,5
154,24,5
155,11,2
156,50,10
157,5,1
158,214,40
159,25,4
160,71,13
161,54,11
162,413,71
163,74,15
164,32,7
165,584,100
166,83,16
167,63,10
168,157,31
169,125,21
170,38,6
171,41,7
172,298,51
173,401,73
174,525,80
175,32,6
176,213,41
177,70,12
178,157,26
179,349,57
180,273,48
181,137,22
182,15,2
183,423,69
184,180,31
185,372,68
186,192,37
187,158,24
188,145,21
189,780,133
190,11,2
191,85,15
192,94,18
193,308,53
194,104,16
195,331,53
196,329,63
197,29,5
198,30,6
199,69,13
200,126,20
201,26,5
202,258,45
203,17,3
204,11,4
205,16,5
206,227,46
207,151,24
208,31,4
209,80,15
210,67,13
211,401,67
212,294,53
213,19,4
214,259,47
215,368,68
216,134,23
217,181,33
218,56,9
219,465,78
220,94,15
221,338,61
222,164,24
223,408,73
224,24,6
225,48,10
226,51,8
227,169,31
228,138,22
229,100,15
230,14,3
231,32,6
232,64,10
233,11,2
234,21,3
235,108,20
236,50,9
237,39,8
238,195,33
239,57,12
240,82,15
241,40,7
242,147,26
243,123,25
244,27,6
245,74,16
246,41,7
247,8,1
248,15,3
249,11,3
250,19,5
251,54,10
252,31,6
253,5,1
254,47,8
255,371,66
256,17,3
